== Stage B5: ablations (key isolating result), n=10 ==
  no_clip_no_dp_seed0: final_acc=0.6859 (69.4s)
  no_clip_no_dp_seed1: final_acc=0.6293 (69.8s)
  no_clip_no_dp_seed2: final_acc=0.6649 (71.9s)
  no_clip_no_dp_seed3: final_acc=0.6607 (97.1s)
  no_clip_no_dp_seed4: final_acc=0.6649 (81.2s)
  no_clip_no_dp_seed5: final_acc=0.5755 (82.4s)
  no_clip_no_dp_seed6: final_acc=0.5046 (80.8s)
  no_clip_no_dp_seed7: final_acc=0.7100 (73.9s)
  no_clip_no_dp_seed8: final_acc=0.6367 (71.3s)
  no_clip_no_dp_seed9: final_acc=0.7272 (69.5s)
== Stage B2: main sweep on CNN, n=10/cell ==
  clean_eps8_seed0: final_acc=0.1549 (69.1s)
  clean_eps8_seed1: final_acc=0.1612 (70.8s)
  clean_eps8_seed2: final_acc=0.0735 (67.1s)
  clean_eps8_seed3: final_acc=0.1461 (69.3s)
  clean_eps8_seed4: final_acc=0.1195 (69.1s)
  clean_eps8_seed5: final_acc=0.0948 (69.9s)
  clean_eps8_seed6: final_acc=0.1302 (69.2s)
  clean_eps8_seed7: final_acc=0.1460 (70.8s)
  clean_eps8_seed8: final_acc=0.1384 (70.1s)
  clean_eps8_seed9: final_acc=0.1103 (71.6s)
  clean_eps18_seed0: final_acc=0.1519 (69.0s)
  clean_eps18_seed1: final_acc=0.1873 (70.6s)
  clean_eps18_seed2: final_acc=0.1062 (69.1s)
  clean_eps18_seed3: final_acc=0.2029 (74.4s)
  clean_eps18_seed4: final_acc=0.0824 (72.5s)
  clean_eps18_seed5: final_acc=0.1111 (71.2s)
  clean_eps18_seed6: final_acc=0.1945 (122.6s)
