== Stage B5: ablations (key isolating result), n=10 ==
== Stage B2: main sweep on CNN, n=10/cell ==
  clean_eps18_seed7: final_acc=0.1742 (71.7s)
  clean_eps18_seed8: final_acc=0.1668 (69.4s)
  clean_eps18_seed9: final_acc=0.0948 (79.9s)
  ipm_eps8_seed0: final_acc=0.0974 (81.2s)
  ipm_eps8_seed1: final_acc=0.1079 (81.4s)
  ipm_eps8_seed2: final_acc=0.1361 (81.0s)
  ipm_eps8_seed3: final_acc=0.0342 (90.5s)
  ipm_eps8_seed4: final_acc=0.1022 (81.9s)
  ipm_eps8_seed5: final_acc=0.0751 (80.4s)
  ipm_eps8_seed6: final_acc=0.1049 (142.1s)
  ipm_eps8_seed7: final_acc=0.1045 (147.1s)
  ipm_eps8_seed8: final_acc=0.1015 (143.6s)
  ipm_eps8_seed9: final_acc=0.0617 (161.6s)
  ipm_eps18_seed0: final_acc=0.0986 (163.9s)
  ipm_eps18_seed1: final_acc=0.1114 (175.0s)
  ipm_eps18_seed2: final_acc=0.0986 (196.2s)
  ipm_eps18_seed3: final_acc=0.0972 (195.4s)
  ipm_eps18_seed4: final_acc=0.1070 (197.3s)
  ipm_eps18_seed5: final_acc=0.0654 (199.1s)
  ipm_eps18_seed6: final_acc=0.1206 (188.7s)
  ipm_eps18_seed7: final_acc=0.0830 (180.0s)
  ipm_eps18_seed8: final_acc=0.0986 (80.3s)
  ipm_eps18_seed9: final_acc=0.1035 (77.0s)
  label_flip_eps8_seed0: final_acc=0.1172 (143.0s)
  label_flip_eps8_seed1: final_acc=0.0768 (86.2s)
  label_flip_eps8_seed2: final_acc=0.1176 (91.6s)
  label_flip_eps8_seed3: final_acc=0.1502 (86.9s)
  label_flip_eps8_seed4: final_acc=0.1029 (107.9s)
  label_flip_eps8_seed5: final_acc=0.0938 (2874.0s)
