== Stage B5: ablations (key isolating result), n=10 ==
== Stage B2: main sweep on CNN, n=10/cell ==
  label_flip_eps8_seed6: final_acc=0.0729 (80.9s)
  label_flip_eps8_seed7: final_acc=0.1037 (75.8s)
  label_flip_eps8_seed8: final_acc=0.1430 (83.2s)
  label_flip_eps8_seed9: final_acc=0.1453 (82.7s)
  label_flip_eps18_seed0: final_acc=0.1108 (82.2s)
  label_flip_eps18_seed1: final_acc=0.0937 (81.5s)
  label_flip_eps18_seed2: final_acc=0.1107 (93.9s)
  label_flip_eps18_seed3: final_acc=0.1107 (98.2s)
  label_flip_eps18_seed4: final_acc=0.0896 (97.7s)
  label_flip_eps18_seed5: final_acc=0.0685 (97.7s)
  label_flip_eps18_seed6: final_acc=0.1263 (114.6s)
  label_flip_eps18_seed7: final_acc=0.0869 (101.8s)
  label_flip_eps18_seed8: final_acc=0.1643 (102.3s)
  label_flip_eps18_seed9: final_acc=0.1626 (99.3s)
== Stage B1-corrected: beta_hat 3-way comparison (clean, CNN), n=10 ==
  betahat0.01_seed0: final_acc=0.4067 (83.5s)
  betahat0.01_seed1: final_acc=0.2930 (91.3s)
  betahat0.01_seed2: final_acc=0.3979 (108.8s)
  betahat0.01_seed3: final_acc=0.1049 (102.9s)
  betahat0.01_seed4: final_acc=0.4121 (99.0s)
  betahat0.01_seed5: final_acc=0.3645 (105.4s)
  betahat0.01_seed6: final_acc=0.4047 (99.2s)
  betahat0.01_seed7: final_acc=0.4010 (97.9s)
  betahat0.01_seed8: final_acc=0.4337 (96.0s)
  betahat0.01_seed9: final_acc=0.5765 (96.2s)
  betahat0.05_seed0: final_acc=0.6517 (101.4s)
  betahat0.05_seed1: final_acc=0.5275 (95.9s)
  betahat0.05_seed2: final_acc=0.5862 (101.2s)
  betahat0.05_seed3: final_acc=0.5542 (96.6s)
  betahat0.05_seed4: final_acc=0.6173 (101.3s)
  betahat0.05_seed5: final_acc=0.5181 (96.5s)
  betahat0.05_seed6: final_acc=0.5529 (99.3s)
  betahat0.05_seed7: final_acc=0.5767 (97.7s)
  betahat0.05_seed8: final_acc=0.5959 (103.6s)
  betahat0.05_seed9: final_acc=0.7451 (95.5s)
  betahat0.1_seed0: final_acc=0.6849 (94.8s)
  betahat0.1_seed1: final_acc=0.6260 (97.2s)
  betahat0.1_seed2: final_acc=0.6712 (93.2s)
  betahat0.1_seed3: final_acc=0.6749 (99.1s)
  betahat0.1_seed4: final_acc=0.6442 (98.7s)
  betahat0.1_seed5: final_acc=0.5789 (101.2s)
  betahat0.1_seed6: final_acc=0.5737 (97.2s)
  betahat0.1_seed7: final_acc=0.7196 (103.4s)
  betahat0.1_seed8: final_acc=0.6061 (108.7s)
  betahat0.1_seed9: final_acc=0.7559 (103.9s)
== Stage B3: MLP secondary check, n=5 ==
  clean_eps8_seed0: final_acc=0.1684 (80.1s)
  clean_eps8_seed1: final_acc=0.1674 (78.6s)
  clean_eps8_seed2: final_acc=0.2169 (98.7s)
  clean_eps8_seed3: final_acc=0.1101 (76.9s)
  clean_eps8_seed4: final_acc=0.1670 (72.1s)
  ipm_eps8_seed0: final_acc=0.0886 (75.5s)
  ipm_eps8_seed1: final_acc=0.1184 (73.3s)
  ipm_eps8_seed2: final_acc=0.0679 (77.1s)
  ipm_eps8_seed3: final_acc=0.0514 (73.8s)
  ipm_eps8_seed4: final_acc=0.0939 (74.4s)
== Stage B4: RAgg comparison, n=5 ==
  trimmed_mean_seed0: final_acc=0.0974 (98.3s)
  trimmed_mean_seed1: final_acc=0.1079 (103.4s)
  trimmed_mean_seed2: final_acc=0.1361 (101.5s)
  trimmed_mean_seed3: final_acc=0.0342 (104.8s)
  trimmed_mean_seed4: final_acc=0.1022 (98.4s)
  median_seed0: final_acc=0.1009 (92.5s)
  median_seed1: final_acc=0.0980 (90.8s)
  median_seed2: final_acc=0.0892 (92.2s)
  median_seed3: final_acc=0.0956 (106.7s)
  median_seed4: final_acc=0.0982 (90.7s)
== Stage B1-original: beta 3-way comparison (clean, CNN), n=10 (kept for continuity) ==
  beta0.01_seed0: final_acc=0.4067 (83.4s)
  beta0.01_seed1: final_acc=0.2930 (82.3s)
  beta0.01_seed2: final_acc=0.3979 (93.1s)
  beta0.01_seed3: final_acc=0.1049 (95.4s)
  beta0.01_seed4: final_acc=0.4121 (124.0s)
  beta0.01_seed5: final_acc=0.3645 (143.9s)
  beta0.01_seed6: final_acc=0.4047 (146.0s)
  beta0.01_seed7: final_acc=0.4010 (149.2s)
  beta0.01_seed8: final_acc=0.4337 (144.4s)
  beta0.01_seed9: final_acc=0.5765 (145.8s)
  beta0.05_seed0: final_acc=0.6517 (155.3s)
  beta0.05_seed1: final_acc=0.5275 (167.7s)
  beta0.05_seed2: final_acc=0.5862 (149.0s)
  beta0.05_seed3: final_acc=0.5542 (178.5s)
  beta0.05_seed4: final_acc=0.6173 (189.5s)
  beta0.05_seed5: final_acc=0.5181 (183.0s)
  beta0.05_seed6: final_acc=0.5529 (185.4s)
  beta0.05_seed7: final_acc=0.5767 (172.7s)
  beta0.05_seed8: final_acc=0.5959 (187.8s)
  beta0.05_seed9: final_acc=0.7451 (186.8s)
  beta0.1_seed0: final_acc=0.6849 (185.7s)
  beta0.1_seed1: final_acc=0.6260 (190.7s)
  beta0.1_seed2: final_acc=0.6712 (189.6s)
  beta0.1_seed3: final_acc=0.6749 (166.9s)
  beta0.1_seed4: final_acc=0.6442 (172.0s)
  beta0.1_seed5: final_acc=0.5789 (163.0s)
  beta0.1_seed6: final_acc=0.5737 (141.8s)
  beta0.1_seed7: final_acc=0.7196 (127.7s)
  beta0.1_seed8: final_acc=0.6061 (127.4s)
  beta0.1_seed9: final_acc=0.7559 (143.5s)

Done. Manifest written to C:\Users\HP\Downloads\New folder\New folder\scripts\..\results\mnist\partB_scaleup\run_manifest.json
